Strike,Call_OI,Put_OI,Call_Vol,Put_Vol,IV,Gamma_1Day,Gamma_1Min,GEX_Shares_1Day,GEX_Shares_1Min,GEX_Dollar_1Day,GEX_Dollar_1Min
495.0,0,9053,107,5,2.166805,0.000020,0.000000,-18.19,0.00,-93348.86,0.00
500.0,0,4660,0,2,2.111569,0.000021,0.000000,-9.84,0.00,-50483.87,0.00
505.0,0,5028,0,0,2.056638,0.000022,0.000000,-11.15,0.00,-57227.81,0.00
510.0,0,2845,0,0,2.115689,0.000038,0.000000,-10.87,0.00,-55783.26,0.00
515.0,0,1077,0,0,1.948303,0.000025,0.000000,-2.65,0.00,-13572.77,0.00
520.0,0,4426,0,0,2.002929,0.000042,0.000000,-18.75,0.00,-96178.47,0.00
525.0,0,13023,0,0,1.841799,0.000027,0.000000,-35.56,0.00,-182433.52,0.00
530.0,0,2949,0,0,1.789310,0.000029,0.000000,-8.51,0.00,-43649.11,0.00
535.0,0,4018,0,0,1.837221,0.000050,0.000000,-20.01,0.00,-102659.56,0.00
540.0,0,79,0,1,1.685552,0.000032,0.000000,-0.26,0.00,-1309.84,0.00
545.0,0,350,0,2,1.633978,0.000034,0.000000,-1.20,0.00,-6143.42,0.00
550.0,0,97,0,2,1.583015,0.000036,0.000000,-0.35,0.00,-1807.12,0.00
555.0,0,353,0,0,1.796977,0.000131,0.000000,-4.62,0.00,-23718.20,0.00
560.0,2,54,0,0,1.739338,0.000139,0.000000,-0.72,0.00,-3711.42,0.00
565.0,0,600,0,0,1.517098,0.000071,0.000000,-4.28,0.00,-21949.44,0.00
570.0,8,2336,0,0,1.625167,0.000158,0.000000,-36.71,0.00,-188364.69,0.00
575.0,30,1835,30,0,1.333844,0.000050,0.000000,-9.05,0.00,-46448.75,0.00
580.0,1,979,0,0,1.284864,0.000054,0.000000,-5.26,0.00,-26968.15,0.00
585.0,0,947,0,0,1.456599,0.000193,0.000000,-18.28,0.00,-93780.49,0.00
590.0,0,1126,0,14,1.188126,0.000062,0.000000,-7.01,0.00,-35963.65,0.00
595.0,10,1038,10,208,1.140214,0.000067,0.000000,-6.91,0.00,-35473.37,0.00
600.0,1,2639,1,24,1.092607,0.000073,0.000000,-19.23,0.00,-98642.80,0.00
605.0,0,936,0,44,1.045154,0.000079,0.000000,-7.41,0.00,-38006.84,0.00
610.0,0,1443,0,77,0.998005,0.000086,0.000000,-12.45,0.00,-63862.18,0.00
615.0,0,5954,0,653,0.951161,0.000094,0.000000,-56.21,0.00,-288389.73,0.00
620.0,0,1898,0,154,0.904470,0.000104,0.000000,-19.67,0.00,-100947.07,0.00
625.0,0,1273,0,255,0.858085,0.000114,0.000000,-14.57,0.00,-74735.03,0.00
630.0,4,1102,0,853,0.811851,0.000127,0.000000,-13.93,0.00,-71471.16,0.00
635.0,0,2298,0,1836,0.765771,0.000141,0.000000,-32.49,0.00,-166702.50,0.00
640.0,31,2516,31,3170,0.719843,0.000159,0.000000,-39.39,0.00,-202102.58,0.00
645.0,30,1479,30,3111,0.674144,0.000179,0.000000,-25.95,0.00,-133162.67,0.00
650.0,14,2059,33,4961,0.628597,0.000204,0.000000,-41.74,0.00,-214138.77,0.00
655.0,7,2673,4,5062,0.583050,0.000234,0.000000,-62.49,0.00,-320627.05,0.00
660.0,17,3498,10,6253,0.537656,0.000272,0.000000,-94.82,0.00,-486494.85,0.00
665.0,1,2382,0,3989,0.492339,0.000321,0.000000,-76.37,0.00,-391845.37,0.00
670.0,15,2671,3,3168,0.446945,0.000383,0.000000,-101.74,0.00,-521995.04,0.00
675.0,10,5572,5,9534,0.401627,0.000467,0.000000,-259.72,0.00,-1332600.48,0.00
676.0,1,1186,35,7870,0.392548,0.000487,0.000000,-57.72,0.00,-296142.88,0.00
677.0,0,1679,28,6650,0.383469,0.000509,0.000000,-85.39,0.00,-438134.75,0.00
678.0,0,3181,9,8869,0.374352,0.000531,0.000000,-169.00,0.00,-867115.66,0.00
679.0,0,1017,4,12808,0.365236,0.000556,0.000000,-56.51,0.00,-289932.50,0.00
680.0,15,4045,21,17393,0.356157,0.000582,0.000000,-234.64,0.00,-1203924.61,0.00
681.0,1,3360,14,11162,0.347078,0.000611,0.000000,-205.22,0.00,-1052951.53,0.00
682.0,0,816,2,11248,0.337923,0.000641,0.000000,-52.31,0.00,-268384.24,0.00
683.0,1,826,4,8821,0.328844,0.000675,0.000000,-55.66,0.00,-285564.29,0.00
684.0,0,760,3,9453,0.319689,0.000710,0.000000,-53.96,0.00,-276867.47,0.00
685.0,10,2222,29,15780,0.310534,0.000749,0.000000,-165.58,0.00,-849547.29,0.00
686.0,0,801,55,10554,0.301417,0.000791,0.000000,-63.38,0.00,-325184.70,0.00
687.0,1,766,17,10081,0.292224,0.000837,0.000000,-64.00,0.00,-328386.81,0.00
688.0,1,1257,43,11738,0.283069,0.000887,0.000000,-111.44,0.00,-571769.29,0.00
689.0,1,895,50,10241,0.273913,0.000943,0.000000,-84.31,0.00,-432585.11,0.00
690.0,100,4690,291,28047,0.264682,0.001003,0.000000,-460.41,0.00,-2362309.75,0.00
691.0,5,718,41,11141,0.255489,0.001071,0.000000,-76.34,0.00,-391693.35,0.00
692.0,12,3798,39,16031,0.246257,0.001145,0.000000,-433.53,0.00,-2224399.40,0.00
693.0,5,1413,70,15595,0.237026,0.001229,0.000000,-172.97,0.00,-887501.48,0.00
694.0,102,2760,360,14470,0.227757,0.001321,0.000000,-351.17,0.00,-1801799.58,0.00
695.0,39,6968,358,30574,0.218449,0.001425,0.000000,-987.15,0.00,-5064918.69,0.00
696.0,36,1486,206,27754,0.209141,0.001543,0.000000,-223.67,0.00,-1147600.09,0.00
697.0,20,920,154,22393,0.199834,0.001678,0.000000,-151.00,0.00,-774744.14,0.00
698.0,16,2011,200,23929,0.190450,0.001830,0.000000,-365.06,0.00,-1873055.42,0.00
699.0,37,2758,332,24244,0.181066,0.002007,0.000000,-546.08,0.00,-2801835.85,0.00
700.0,359,8756,12807,123347,0.171644,0.002212,0.000000,-1857.58,0.00,-9530982.29,0.00
701.0,108,1992,757,27875,0.162183,0.002453,0.000000,-462.08,0.00,-2370871.96,0.00
702.0,102,1468,425,35858,0.152647,0.002734,0.000000,-373.44,0.00,-1916044.19,0.00
703.0,110,3975,918,34946,0.143110,0.003075,0.000000,-1188.49,0.00,-6097974.13,0.00
704.0,362,2814,1517,46396,0.133497,0.003486,0.000000,-854.65,0.00,-4385082.86,0.00
705.0,962,5603,4928,116176,0.123846,0.003994,0.000000,-1853.49,0.00,-9509976.66,0.00
706.0,818,1739,4987,80671,0.114119,0.004628,0.000000,-426.28,0.00,-2187177.24,0.00
707.0,1685,2352,12025,69841,0.104315,0.005440,0.000000,-362.85,0.00,-1861728.55,0.00
708.0,1502,2793,30687,95654,0.094436,0.006508,0.000000,-840.21,0.00,-4311016.18,0.00
709.0,733,2479,20131,107926,0.084441,0.007950,0.000000,-1388.08,0.00,-7122064.45,0.00
710.0,2431,4571,68227,259669,0.074352,0.009997,0.000000,-2139.27,0.00,-10976294.72,0.00
711.0,997,1401,47270,130967,0.064090,0.013021,0.000000,-526.05,0.00,-2699064.90,0.00
712.0,1237,1421,76016,224423,0.053657,0.017866,0.000000,-328.73,0.00,-1686660.60,0.00
713.0,1070,1566,113930,224214,0.042967,0.026439,0.000000,-1311.39,0.00,-6728542.39,0.00
714.0,867,3519,178468,266970,0.035919,0.060286,0.000000,-15987.76,0.00,-82030903.54,0.00
715.0,3339,2227,323801,264296,0.021943,0.114044,0.000000,12681.65,0.00,65067729.35,0.00
716.0,3604,1483,225958,190136,0.011859,0.600678,0.000000,127403.85,0.00,653690939.75,0.00
717.0,1717,10398,275659,149982,0.063882,0.161462,0.000000,-140165.09,-0.00,-719167016.11,-0.00
718.0,4171,878,260519,82395,0.045506,0.150814,0.000000,49663.18,0.00,254814661.78,0.00
719.0,2691,568,163171,41761,0.036396,0.047899,0.000000,10169.00,0.00,52175662.06,0.00
720.0,11086,896,298186,57273,0.044941,0.024455,0.000000,24920.01,0.00,127861004.87,0.00
721.0,1411,708,101421,14959,0.055431,0.016866,0.000000,1185.66,0.00,6083474.48,0.00
722.0,1744,570,103770,19257,0.065673,0.012484,0.000000,1465.61,0.00,7519820.90,0.00
723.0,1195,538,96932,23075,0.075706,0.009686,0.000000,636.39,0.00,3265246.52,0.00
724.0,868,293,74803,14085,0.093863,0.011336,0.000000,651.81,0.00,3344350.79,0.00
725.0,3834,730,115540,8793,0.095313,0.006420,0.000000,1992.67,0.00,10224094.86,0.00
726.0,2394,335,42832,3240,0.104907,0.005401,0.000000,1112.00,0.00,5705505.08,0.00
727.0,879,224,42228,1790,0.114405,0.004622,0.000000,302.76,0.00,1553419.98,0.00
728.0,6443,293,39020,693,0.123808,0.004011,0.000000,2466.62,0.00,12655853.68,0.00
729.0,962,250,21429,654,0.133116,0.003519,0.000000,250.56,0.00,1285596.46,0.00
730.0,8928,264,65672,990,0.142347,0.003119,0.000000,2701.88,0.00,13862966.65,0.00
731.0,873,261,20687,91,0.151483,0.002785,0.000000,170.42,0.00,874403.68,0.00
732.0,1461,425,20793,432,0.160581,0.002508,0.000000,259.78,0.00,1332914.63,0.00
733.0,1638,790,16287,559,0.169584,0.002270,0.000000,192.51,0.00,987738.37,0.00
734.0,1233,642,12187,88,0.178548,0.002069,0.000000,122.25,0.00,627240.16,0.00
735.0,4046,712,24964,137,0.187436,0.001893,0.000000,631.18,0.00,3238514.59,0.00
736.0,851,469,11073,34,0.196286,0.001741,0.000000,66.52,0.00,341326.15,0.00
737.0,1385,165,4764,174,0.205060,0.001607,0.000000,196.09,0.00,1006128.79,0.00
738.0,3556,719,6726,138,0.213795,0.001490,0.000000,422.58,0.00,2168221.93,0.00
739.0,1068,488,7438,87,0.222492,0.001385,0.000000,80.36,0.00,412290.85,0.00
740.0,1910,483,13662,82,0.231152,0.001293,0.000000,184.49,0.00,946573.96,0.00
741.0,990,283,6628,5,0.239773,0.001210,0.000000,85.55,0.00,438927.04,0.00
742.0,911,347,4301,4,0.248356,0.001136,0.000000,64.04,0.00,328596.71,0.00
743.0,584,243,4856,20,0.256862,0.001067,0.000000,36.39,0.00,186726.03,0.00
744.0,731,99,5539,22,0.265369,0.001006,0.000000,63.60,0.00,326307.33,0.00
745.0,3876,299,9928,30,0.273799,0.000950,0.000000,339.78,0.00,1743367.35,0.00
746.0,850,171,3254,30,0.282229,0.000899,0.000000,61.06,0.00,313270.52,0.00
747.0,981,44,2466,1,0.312403,0.001319,0.000000,123.63,0.00,634321.00,0.00
748.0,681,5,2719,3,0.298937,0.000809,0.000000,54.70,0.00,280671.48,0.00
749.0,384,108,2808,7,0.307253,0.000770,0.000000,21.25,0.00,109005.24,0.00
750.0,1968,5,3287,553,0.315493,0.000733,0.000000,143.81,0.00,737891.73,0.00
755.0,2185,6,3071,12,0.356462,0.000587,0.000000,127.80,0.00,655722.13,0.00
760.0,3350,5,434,27,0.396668,0.000482,0.000000,161.20,0.00,827109.17,0.00
765.0,1130,0,57,2,0.436264,0.000405,0.000000,45.74,0.00,234668.90,0.00
770.0,1190,0,41,18,0.475325,0.000346,0.000000,41.19,0.00,211330.04,0.00
775.0,1491,0,8,0,0.513777,0.000300,0.000000,44.71,0.00,229413.41,0.00
780.0,317,0,12,0,0.551770,0.000263,0.000000,8.34,0.00,42796.19,0.00
785.0,157,0,0,0,0.589230,0.000233,0.000000,3.66,0.00,18771.50,0.00
790.0,499,0,0,0,0.626308,0.000208,0.000000,10.40,0.00,53350.06,0.00
795.0,573,0,0,0,0.662929,0.000188,0.000000,10.75,0.00,55175.35,0.00
800.0,549,1,1,0,0.699167,0.000170,0.000000,9.33,0.00,47857.84,0.00
805.0,27,0,0,0,0.837104,0.000390,0.000000,1.05,0.00,5408.04,0.00
810.0,96,0,19,0,0.770501,0.000142,0.000000,1.37,0.00,7015.14,0.00
815.0,1,0,0,0,0.937123,0.000382,0.000000,0.04,0.00,196.10,0.00
820.0,5,0,1,0,0.840232,0.000121,0.000000,0.06,0.00,311.05,0.00
825.0,1,0,0,0,1.068499,0.000442,0.000000,0.04,0.00,226.88,0.00
830.0,23,0,0,0,0.964589,0.000169,0.000000,0.39,0.00,1999.16,0.00
835.0,1,0,4,0,0.942464,0.000098,0.000000,0.01,0.00,50.33,0.00
840.0,0,0,0,0,0.942464,0.000067,0.000000,0.00,0.00,0.00,0.00
845.0,1,0,0,0,1.009144,0.000087,0.000000,0.01,0.00,44.40,0.00
850.0,12,0,0,0,1.041949,0.000082,0.000000,0.10,0.00,502.00,0.00
855.0,0,0,0,0,1.041949,0.000058,0.000000,0.00,0.00,0.00,0.00
860.0,0,0,0,0,1.041949,0.000041,0.000000,0.00,0.00,0.00,0.00
865.0,0,0,0,0,1.041949,0.000029,0.000000,0.00,0.00,0.00,0.00
870.0,0,0,0,0,1.041949,0.000020,0.000000,0.00,0.00,0.00,0.00
875.0,0,0,0,0,1.041949,0.000014,0.000000,0.00,0.00,0.00,0.00
880.0,101,0,0,0,1.305463,0.000097,0.000000,0.98,0.00,5041.56,0.00
885.0,0,0,0,0,1.305463,0.000076,0.000000,0.00,0.00,0.00,0.00
890.0,0,0,0,0,1.305463,0.000059,0.000000,0.00,0.00,0.00,0.00
895.0,0,0,0,0,1.305463,0.000045,0.000000,0.00,0.00,0.00,0.00
900.0,0,0,0,0,1.305463,0.000035,0.000000,0.00,0.00,0.00,0.00
905.0,0,0,0,0,1.305463,0.000026,0.000000,0.00,0.00,0.00,0.00
910.0,0,0,0,0,1.305463,0.000020,0.000000,0.00,0.00,0.00,0.00
915.0,0,0,0,0,1.305463,0.000015,0.000000,0.00,0.00,0.00,0.00
920.0,0,0,0,0,1.305463,0.000011,0.000000,0.00,0.00,0.00,0.00
925.0,0,0,0,0,1.305463,0.000008,0.000000,0.00,0.00,0.00,0.00
930.0,0,0,0,0,1.305463,0.000006,0.000000,0.00,0.00,0.00,0.00
935.0,0,0,0,0,1.305463,0.000005,0.000000,0.00,0.00,0.00,0.00
940.0,0,0,0,0,1.305463,0.000003,0.000000,0.00,0.00,0.00,0.00
945.0,0,0,0,0,1.305463,0.000003,0.000000,0.00,0.00,0.00,0.00
950.0,1,0,0,0,1.647101,0.000035,0.000000,0.00,0.00,17.96,0.00
